2.36	0.14						
2.36	0.35						
2.38	0.13						
2.43	0.20						
2.45	0.12						
2.46	0.16						
2.49	0.09						
2.58	0.18						
2.64	0.25						
2.70	0.15						
2.72	0.14						
2.74	0.08						
2.89	0.12						
2.90	0.12						
2.98	0.11						
3.21	0.12						
3.21	0.11						
3.47	0.08						
3.49	0.30						
3.53	0.12						
3.55	0.19						
3.70	0.24						
3.87	0.13						
3.96	0.15						
4.00	0.19						
4.18	0.29						
4.33	0.11						
4.54	0.19						
4.91	0.18						
4.98	0.15						
5.01	0.19						
5.21	0.12						
5.30	0.17						
5.57	0.28						
6.24	0.55						
6.65	0.54						
7.13	0.22						
7.31	0.20						
7.37	0.11						
7.89	0.33						
8.65	0.30						
9.15	0.27						
9.84	0.30						
10.49	0.16						
11.39	0.31						
12.45	0.35						
14.36	0.08						
17.48	0.60						
18.55	0.65						
19.01	0.60						
19.61	0.71						
20.53	0.72						
22.21	0.48						
38.51	0.96						
43.68	1.24						
44.82	0.93						
49.06	1.07						
49.11	1.18						
59.61	1.11						
67.46	1.48						
80.74	1.13						
119.34	1.70						
258.38	5.15						
258.59	3.68						
267.27	4.39						
